Force-Distance Curve
Date and Time:  2016-04-25   12.49.48

Up data,Down data
0.65271979,0.66926852
0.67563342,0.66290362
0.65017383,0.67308746
0.62980615,0.64762787
0.65399277,0.63107913
0.60943847,0.65271979
0.61071145,0.63744403
0.57634099,0.62598721
0.54197053,0.60052761
0.58270589,0.59670867
0.58779781,0.63362509
0.58525185,0.58525185
0.57506801,0.60180059
0.49868921,0.60180059
0.47450260,0.58652483
0.52796775,0.60180059
0.54578947,0.58015993
0.49487027,0.56743013
0.49105134,0.58907079
0.52032987,0.57379503
0.50760007,0.57124907
0.51778391,0.57124907
0.47195664,0.60052761
0.49487027,0.57124907
0.47068366,0.54451649
0.44140512,0.55088139
0.43376724,0.55470033
0.42994830,0.55470033
0.42231042,0.53178669
0.40066976,0.54833543
0.37521016,0.55597331
0.38793996,0.52287583
0.37648314,0.50378113
0.37266420,0.51269199
0.36120738,0.52160285
0.33320182,0.51905689
0.35356950,0.51778391
0.35611546,0.48723240
0.33956672,0.48214048
0.31538011,0.47959452
0.31156117,0.49359729
0.33065586,0.50505411
0.34975056,0.47704856
0.32047203,0.46813770
0.31665309,0.46304578
0.31410713,0.44395108
0.30646925,0.46941068
0.30137733,0.44395108
0.29628541,0.41721850
0.27082581,0.42103744
0.25809601,0.40830764
0.23645535,0.42231042
0.23900131,0.40321572
0.24027429,0.38157506
0.24918515,0.40448870
0.25682303,0.37648314
0.27973667,0.35738844
0.29373945,0.36248036
0.29755839,0.37648314
0.29373945,0.35738844
0.29119349,0.33702076
0.29501243,0.34211268
0.29119349,0.34465864
0.29373945,0.34847758
0.28992051,0.34720460
0.29373945,0.32938288
0.29373945,0.32683692
0.29246647,0.31538011
0.29501243,0.31410713
0.29755839,0.32556394
0.29628541,0.30901521
0.28992051,0.29883137
0.29373945,0.30774223
0.28992051,0.27464475
0.29119349,0.27464475
0.29501243,0.28610157
0.29373945,0.26573389
0.29373945,0.25682303
0.28992051,0.24409323
0.29501243,0.26064197
0.29628541,0.25427707
0.29373945,0.24918515
0.29373945,0.25045813
0.29755839,0.23900131
0.29373945,0.24791217
0.29119349,0.26064197
0.29501243,0.25427707
0.29373945,0.25045813
0.29628541,0.25045813
0.29246647,0.25427707
0.29119349,0.25936899
0.29119349,0.25555005
0.29628541,0.25936899
0.29755839,0.25427707
0.29119349,0.25427707
0.29501243,0.26064197
0.29628541,0.25555005
0.29501243,0.26318793
0.29628541,0.26446091
0.29501243,0.26827985
0.29246647,0.26955283
0.29373945,0.26955283
0.29373945,0.26827985
0.29373945,0.26827985
0.29373945,0.26700687
0.29501243,0.27973667
0.29501243,0.27209879
0.29373945,0.27464475
0.29755839,0.27973667
0.29501243,0.28355561
0.29628541,0.28100965
0.29883137,0.28228263
0.29501243,0.28228263
0.29883137,0.28610157
0.29501243,0.28482859
0.29119349,0.28228263
0.29755839,0.28355561
0.29501243,0.28482859
0.29755839,0.28482859
0.29119349,0.28610157
0.29755839,0.28737455
0.29373945,0.28482859
0.29755839,0.28228263
0.29755839,0.28355561
0.29119349,0.28355561
0.29501243,0.28864753
0.29755839,0.28610157
0.29501243,0.28482859
0.29119349,0.28355561
0.29373945,0.28355561
0.29373945,0.28482859
0.29246647,0.28610157
0.29628541,0.29119349
0.28992051,0.29119349
0.29119349,0.28864753
0.29501243,0.29119349
0.29501243,0.29246647
0.29755839,0.28737455
0.29755839,0.28864753
0.29246647,0.28610157
0.29373945,0.28992051
0.29373945,0.28864753
0.29501243,0.28482859
0.29501243,0.28737455
0.29755839,0.28992051
0.29119349,0.29119349
0.29501243,0.28992051
0.29755839,0.28482859
0.29119349,0.28864753
0.29628541,0.28864753
0.29373945,0.28992051
0.29119349,0.29119349
0.29501243,0.29246647
0.29755839,0.28864753
0.29246647,0.28737455
0.29119349,0.28864753
0.29883137,0.29246647
0.29119349,0.29119349
0.29501243,0.29119349
0.29628541,0.29119349
