Force-Distance Curve
Date and Time:  2016-04-25   13.07.55

Up data,Down data
0.88058319,0.89713193
0.88567511,0.90476981
0.86021551,0.87549127
0.86658041,0.86912637
0.88185617,0.85894253
0.84239379,0.83984783
0.84112081,0.81948016
0.80929632,0.85130465
0.80293142,0.85766955
0.79147460,0.83857485
0.78510970,0.83093698
0.76601500,0.82966400
0.74310136,0.81948016
0.73928242,0.85003167
0.73800944,0.81184228
0.70745792,0.79529354
0.70236600,0.78638268
0.72273368,0.79911248
0.71254984,0.79656652
0.72909858,0.74310136
0.73419050,0.73673646
0.71127686,0.76346904
0.69090918,0.74182838
0.69854706,0.74692030
0.70236600,0.71382282
0.68454428,0.71382282
0.65653873,0.71764176
0.67181448,0.70873090
0.64126297,0.73037156
0.60816549,0.70745792
0.59925463,0.70491196
0.60689251,0.71382282
0.59416271,0.71636878
0.59670867,0.70745792
0.59925463,0.69854706
0.56488417,0.69472812
0.58525185,0.70491196
0.60561953,0.69982004
0.60561953,0.69982004
0.57634099,0.69727408
0.56233821,0.69600110
0.55724629,0.70873090
0.58397887,0.68581726
0.54324351,0.67690640
0.53815159,0.67690640
0.50123517,0.67181448
0.49487027,0.67690640
0.49741623,0.67181448
0.46941068,0.63744403
0.47195664,0.62471423
0.45795386,0.62471423
0.46177280,0.62726019
0.46049982,0.60561953
0.42485638,0.60307357
0.41976446,0.58652483
0.44140512,0.60180059
0.48468644,0.59543569
0.42103744,0.59034377
0.46941068,0.55979225
0.43249426,0.54578947
0.40321572,0.54197053
0.38412102,0.53815159
0.39557784,0.54706245
0.38666698,0.53942457
0.35738844,0.51523795
0.33702076,0.53305967
0.33574778,0.51396497
0.32556394,0.51141901
0.29883137,0.48595942
0.31410713,0.47577558
0.28355561,0.47704856
0.25427707,0.48595942
0.28992051,0.48341346
0.27973667,0.46431876
0.24663919,0.45413492
0.24918515,0.44267810
0.25427707,0.43885916
0.24918515,0.45922684
0.27209879,0.44395108
0.25427707,0.46686472
0.22754449,0.46304578
0.21990661,0.42740234
0.24918515,0.44140512
0.26446091,0.46431876
0.24282025,0.42231042
0.23645535,0.41339956
0.23900131,0.41849148
0.23518237,0.40066976
0.23518237,0.41849148
0.21481469,0.41467254
0.27973667,0.39812380
0.28482859,0.40830764
0.28228263,0.41594552
0.28228263,0.39812380
0.28228263,0.40576168
0.28100965,0.40576168
0.28482859,0.39557784
0.28228263,0.36629930
0.28228263,0.38030208
0.27846369,0.39430486
0.28610157,0.34975056
0.28482859,0.35484248
0.28355561,0.37648314
0.28100965,0.32429096
0.28100965,0.32301799
0.28100965,0.32938288
0.27973667,0.28737455
0.28100965,0.29119349
0.28482859,0.30901521
0.27719071,0.30646925
0.27846369,0.27973667
0.28100965,0.27337177
0.28482859,0.28864753
0.28482859,0.24663919
0.28228263,0.27464475
0.28100965,0.21990661
0.28228263,0.23136343
0.28610157,0.23390939
0.28355561,0.24791217
0.28228263,0.25300409
0.28228263,0.21863363
0.28228263,0.23263641
0.28355561,0.22245257
0.28355561,0.23518237
0.28610157,0.22627151
0.28355561,0.22754449
0.28100965,0.23518237
0.28355561,0.24027429
0.28482859,0.23009045
0.27846369,0.23009045
0.28482859,0.23390939
0.28610157,0.23772833
0.27973667,0.22881747
0.28355561,0.25936899
0.28100965,0.24663919
0.27719071,0.26318793
0.27591773,0.26700687
0.28482859,0.26446091
0.27719071,0.26446091
0.28355561,0.26318793
0.27973667,0.26700687
0.27591773,0.26955283
0.27719071,0.27082581
0.28100965,0.27464475
0.27719071,0.27464475
0.27846369,0.26955283
0.28100965,0.27337177
0.28100965,0.28100965
0.28482859,0.27209879
0.28100965,0.27719071
0.27591773,0.28100965
0.28100965,0.27719071
0.27973667,0.27591773
0.27719071,0.27464475
0.27464475,0.27846369
0.28100965,0.27973667
0.28228263,0.28100965
0.27973667,0.28100965
0.28100965,0.27846369
0.28355561,0.27846369
0.27973667,0.28228263
0.28355561,0.27846369
0.28100965,0.27973667
0.27973667,0.28228263
0.28100965,0.27719071
0.28355561,0.27591773
0.28482859,0.28355561
0.27973667,0.27719071
0.27591773,0.27719071
0.27973667,0.27973667
0.27719071,0.28100965
0.27973667,0.27973667
0.28100965,0.28228263
0.28100965,0.27973667
0.28482859,0.28100965
0.28100965,0.28100965
0.27719071,0.27973667
0.27846369,0.28100965
0.28100965,0.27591773
0.28355561,0.27719071
0.28228263,0.28100965
0.28228263,0.27846369
0.28355561,0.27719071
0.27719071,0.28100965
0.28100965,0.28100965
0.28482859,0.27719071
0.28228263,0.27719071
0.28100965,0.28482859
0.27973667,0.28482859
0.28355561,0.27973667
0.27846369,0.27719071
0.28100965,0.28355561
0.27719071,0.28610157
0.28100965,0.27846369
0.27846369,0.27719071
0.28228263,0.28228263
0.28100965,0.28228263
0.28228263,0.27846369
0.28228263,0.27973667
0.28355561,0.28482859
0.27973667,0.28100965
0.28228263,0.28482859
0.27846369,0.28355561
0.28100965,0.28100965
0.28228263,0.28100965
0.28228263,0.27846369
0.28610157,0.28100965
0.27846369,0.28100965
0.28355561,0.28482859
0.28100965,0.27846369
0.28100965,0.28100965
0.28228263,0.28228263
0.27846369,0.27973667
0.28228263,0.28100965
0.28482859,0.27973667
0.28100965,0.28610157
0.28228263,0.28355561
0.28228263,0.28228263
0.27973667,0.28482859
0.28355561,0.28482859
0.28355561,0.28482859
0.28355561,0.28100965
0.28100965,0.28610157
0.28610157,0.28100965
0.28355561,0.27973667
0.28228263,0.28228263
0.28482859,0.28482859
0.28355561,0.28610157
0.28355561,0.28482859
0.28355561,0.28355561
0.28228263,0.27973667
0.28228263,0.28228263
0.28610157,0.28610157
0.28355561,0.28610157
0.28482859,0.28100965
0.28482859,0.28482859
0.28610157,0.28482859
0.28355561,0.28482859
0.28355561,0.28100965
0.28228263,0.28610157
0.28355561,0.28228263
0.28355561,0.27846369
0.28228263,0.27973667
0.28610157,0.28100965
0.28355561,0.28610157
0.28228263,0.27973667
0.28610157,0.28100965
0.28355561,0.28482859
0.28610157,0.28228263
0.28100965,0.28610157
0.28100965,0.28610157
0.28100965,0.28228263
0.28355561,0.28100965
0.28228263,0.27846369
0.28100965,0.28482859
0.28355561,0.27846369
0.28228263,0.28482859
0.28355561,0.28610157
0.28355561,0.28100965
0.28610157,0.28100965
0.28355561,0.28100965
0.28100965,0.28355561
0.28737455,0.28100965
0.28610157,0.28482859
0.28610157,0.28228263
0.27973667,0.28482859
0.28482859,0.28100965
0.28228263,0.28228263
0.28737455,0.28482859
0.28610157,0.28355561
0.27973667,0.28100965
0.28228263,0.28610157
0.28100965,0.27846369
0.28482859,0.28355561
0.28610157,0.27846369
0.28355561,0.28100965
0.28355561,0.28482859
0.28482859,0.27846369
0.28228263,0.27846369
0.28355561,0.28228263
0.28228263,0.28482859
0.27973667,0.27846369
0.28228263,0.28228263
0.28482859,0.28228263
0.27973667,0.28228263
0.27973667,0.28610157
0.28100965,0.28610157
0.28482859,0.28482859
0.28228263,0.27973667
0.28482859,0.28228263
0.28228263,0.28610157
0.28100965,0.27846369
0.28228263,0.28610157
0.28100965,0.28228263
0.28100965,0.28228263
0.27846369,0.28228263
0.28482859,0.28228263
0.28100965,0.28100965
0.28482859,0.28482859
0.28482859,0.27846369
0.28482859,0.28355561
0.27846369,0.28228263
0.28355561,0.28610157
0.28100965,0.28228263
0.28482859,0.28355561
0.28100965,0.27973667
0.28100965,0.28100965
0.27719071,0.27846369
0.27719071,0.27846369
0.27719071,0.28482859
0.28482859,0.28228263
0.28100965,0.28610157
0.27846369,0.28355561
0.27973667,0.28228263
0.28100965,0.28355561
0.28100965,0.28610157
0.27846369,0.28228263
0.27973667,0.27846369
0.27719071,0.28610157
0.28100965,0.28482859
0.28100965,0.28610157
0.27846369,0.27846369
0.28610157,0.28482859
0.27846369,0.28355561
0.28100965,0.27973667
0.27846369,0.28100965
0.28355561,0.28100965
0.28482859,0.28482859
0.28228263,0.28482859
0.27846369,0.28482859
0.28482859,0.28100965
0.28610157,0.28100965
0.28355561,0.27846369
0.28228263,0.28228263
0.28355561,0.27591773
0.28228263,0.28100965
0.28100965,0.27719071
0.28355561,0.27846369
0.27846369,0.28610157
0.28100965,0.28228263
0.27973667,0.28355561
0.28482859,0.28228263
0.28100965,0.28100965
0.28228263,0.28610157
0.28100965,0.28100965
0.28482859,0.28100965
0.28228263,0.28610157
0.28100965,0.28355561
0.27846369,0.28482859
0.28100965,0.27973667
0.28228263,0.27846369
0.28100965,0.28228263
0.28100965,0.28100965
0.27846369,0.28228263
0.28100965,0.28100965
0.27973667,0.28228263
0.28100965,0.28100965
0.27973667,0.28100965
0.28228263,0.28228263
0.28228263,0.28228263
0.28228263,0.28355561
0.27719071,0.27846369
0.28100965,0.27973667
0.27846369,0.28482859
0.27846369,0.28228263
0.28228263,0.28100965
0.28482859,0.28100965
0.28228263,0.28482859
0.27973667,0.28228263
0.27973667,0.27973667
0.28610157,0.28100965
0.27846369,0.27719071
0.28100965,0.28482859
0.28610157,0.27973667
0.28100965,0.28100965
0.27846369,0.28228263
0.28482859,0.28228263
0.28482859,0.28228263
0.27719071,0.28610157
0.27973667,0.28482859
0.27973667,0.27846369
0.28100965,0.28355561
0.28228263,0.27846369
0.28482859,0.27846369
0.28482859,0.28228263
0.28228263,0.28100965
0.27973667,0.28482859
0.28100965,0.28228263
0.28100965,0.28355561
0.28228263,0.27973667
0.28482859,0.28355561
0.27973667,0.28228263
0.28228263,0.27973667
0.28100965,0.28228263
0.28482859,0.28610157
0.27973667,0.28228263
0.28228263,0.28100965
0.28228263,0.27846369
0.28610157,0.28610157
0.27973667,0.27973667
0.27973667,0.27846369
0.28482859,0.28228263
0.28228263,0.28482859
0.28100965,0.28100965
0.27973667,0.28482859
0.28100965,0.28228263
0.27846369,0.27973667
0.28228263,0.27846369
0.28482859,0.28355561
0.28228263,0.28228263
0.28100965,0.27719071
0.28228263,0.28228263
0.28228263,0.28228263
0.28355561,0.27846369
0.28100965,0.28228263
0.28482859,0.28100965
0.28482859,0.28228263
0.28482859,0.28228263
0.27846369,0.27973667
0.28100965,0.28610157
0.28482859,0.28610157
0.28100965,0.28355561
0.28355561,0.28355561
0.27846369,0.28355561
0.27719071,0.28100965
0.28100965,0.28355561
0.28228263,0.28610157
0.28482859,0.28228263
0.28228263,0.28355561
0.27719071,0.28355561
0.28482859,0.28355561
0.27973667,0.28737455
0.28100965,0.28610157
0.28100965,0.28228263
0.27973667,0.28228263
0.28100965,0.28228263
0.28482859,0.28482859
0.28355561,0.28610157
0.28100965,0.28482859
0.28228263,0.28100965
0.28100965,0.28482859
0.28100965,0.28482859
0.28610157,0.28100965
0.27719071,0.28228263
0.27591773,0.27973667
0.27719071,0.28737455
0.27719071,0.27973667
0.28100965,0.28482859
0.27973667,0.28610157
0.28355561,0.28737455
0.27591773,0.28100965
0.27973667,0.28355561
0.28100965,0.28737455
0.28355561,0.28482859
0.28482859,0.28482859
0.28100965,0.28482859
0.28100965,0.28610157
0.28482859,0.28228263
0.27719071,0.28737455
0.28100965,0.28482859
0.28100965,0.27973667
0.28100965,0.28610157
0.27719071,0.28355561
0.28228263,0.28737455
0.27591773,0.28482859
0.28100965,0.28228263
0.28228263,0.28355561
0.27591773,0.28610157
0.28228263,0.28610157
0.28355561,0.28737455
0.27591773,0.27973667
0.27846369,0.28482859
0.27591773,0.28355561
0.28100965,0.28610157
0.27973667,0.28355561
0.27846369,0.27973667
0.27591773,0.28355561
0.27719071,0.28355561
0.27591773,0.27973667
0.27719071,0.28355561
0.27973667,0.28355561
0.28228263,0.28610157
0.28355561,0.28610157
0.27719071,0.28100965
0.27973667,0.28355561


User Comment:
