Force-Distance Curve
Date and Time:  2016-04-25   12.56.19

Up data,Down data
0.81948016,0.83348293
0.82711804,0.81438824
0.83093698,0.81566122
0.82329910,0.83220995
0.82839102,0.80675036
0.82839102,0.81184228
0.80420440,0.78383672
0.78892864,0.78256374
0.79529354,0.80038546
0.79783950,0.77619884
0.77237990,0.80420440
0.77237990,0.76474202
0.75455818,0.74946626
0.73419050,0.77237990
0.71636878,0.78638268
0.70109302,0.74310136
0.70618494,0.74182838
0.69472812,0.76219606
0.68327130,0.76219606
0.64508191,0.74310136
0.65017383,0.76219606
0.66926852,0.74692030
0.63744403,0.71891474
0.62980615,0.72527964
0.61198443,0.73800944
0.64126297,0.75073924
0.63617105,0.73928242
0.59543569,0.72527964
0.61707635,0.70873090
0.61198443,0.71891474
0.59925463,0.73928242
0.59161675,0.72527964
0.56743013,0.69982004
0.56361119,0.69218216
0.58015993,0.69090918
0.57761397,0.74564732
0.56743013,0.67181448
0.53305967,0.66799554
0.53051371,0.68199832
0.54960841,0.67308746
0.52796775,0.69472812
0.49359729,0.67308746
0.48468644,0.66035767
0.48850538,0.64126297
0.44649704,0.61198443
0.44777002,0.65653873
0.49487027,0.62980615
0.41467254,0.61962231
0.44522406,0.62726019
0.47577558,0.61453039
0.41339956,0.61071145
0.40830764,0.61453039
0.43249426,0.61962231
0.40703466,0.61325741
0.38412102,0.55979225
0.39048592,0.55724629
0.37775612,0.56743013
0.35356950,0.56997609
0.38284804,0.54451649
0.38412102,0.53305967
0.37139122,0.54578947
0.34593162,0.48850538
0.35993440,0.47322962
0.35611546,0.46686472
0.34847758,0.46431876
0.31919905,0.50378113
0.31410713,0.53178669
0.31156117,0.50887305
0.30646925,0.43631320
0.29628541,0.43631320
0.28482859,0.46941068
0.27337177,0.47577558
0.24918515,0.46941068
0.25809601,0.47704856
0.26064197,0.43376724
0.24918515,0.45413492
0.24409323,0.44649704
0.25427707,0.44777002
0.23390939,0.44013214
0.22372555,0.41467254
0.29246647,0.41339956
0.29246647,0.43249426
0.28482859,0.42358340
0.28992051,0.40703466
0.28992051,0.39303188
0.28610157,0.37648314
0.29246647,0.38539400
0.28737455,0.39430486
0.29246647,0.39303188
0.28610157,0.38793996
0.28737455,0.37902910
0.29373945,0.37648314
0.28864753,0.36757228
0.29373945,0.35484248
0.28992051,0.36757228
0.29373945,0.35866142
0.28992051,0.34593162
0.29246647,0.32429096
0.29246647,0.30646925
0.29246647,0.31665309
0.28992051,0.35229652
0.29246647,0.34338566
0.28992051,0.32683692
0.28610157,0.29373945
0.28610157,0.26318793
0.28737455,0.28992051
0.28992051,0.29628541
0.28992051,0.29755839
0.28992051,0.26318793
0.29373945,0.26955283
0.28737455,0.26573389
0.28992051,0.25427707
0.29246647,0.28355561
0.29246647,0.27591773
0.28992051,0.26064197
0.28737455,0.25300409
0.28610157,0.22627151
0.29373945,0.23645535
0.29119349,0.23645535
0.28992051,0.23518237
0.29246647,0.24027429
0.28992051,0.24282025
0.28864753,0.25427707
0.28737455,0.24027429
0.28737455,0.24282025
0.29501243,0.25555005
0.28864753,0.25427707
0.28864753,0.25555005
0.28992051,0.25300409
0.28992051,0.25300409
0.28737455,0.26700687
0.28992051,0.25809601
0.29501243,0.26064197
0.29501243,0.26573389
0.28864753,0.27464475
0.29119349,0.27591773
0.28992051,0.26827985
0.29119349,0.26700687
0.28864753,0.27973667
0.28610157,0.27591773
0.29373945,0.27591773
0.29373945,0.28100965
0.29373945,0.27591773
0.29373945,0.28482859
0.29119349,0.27973667
0.28992051,0.28228263
0.29373945,0.28355561
0.28992051,0.27846369
0.28992051,0.28228263
0.29119349,0.28610157
0.29373945,0.27973667
0.29373945,0.28610157
0.29501243,0.28100965
0.28610157,0.28610157
0.29119349,0.28482859
0.29119349,0.28355561
0.28992051,0.28610157
0.29373945,0.28228263
0.29119349,0.28228263
0.29119349,0.28737455
0.29246647,0.28610157
0.29246647,0.28355561
0.29373945,0.28610157
0.28992051,0.28992051
0.29373945,0.28864753
0.29373945,0.28864753
0.29119349,0.28992051
0.29119349,0.28737455
0.28737455,0.29246647
