Force-Distance Curve
Date and Time:  2016-04-25   13.03.11

Up data,Down data
0.85894253,0.85130465
0.87803723,0.84239379
0.83093698,0.85639657
0.82711804,0.86530743
0.82202612,0.86403445
0.79529354,0.87549127
0.81438824,0.83857485
0.79529354,0.84493975
0.78638268,0.83857485
0.78383672,0.88440213
0.75455818,0.87421829
0.75455818,0.79020162
0.80547738,0.80165844
0.80547738,0.83220995
0.75201222,0.85766955
0.74310136,0.80293142
0.75837712,0.80038546
0.73928242,0.78256374
0.72527964,0.78765566
0.71254984,0.77492586
0.70363898,0.77874480
0.73800944,0.76092308
0.67436044,0.73928242
0.67181448,0.76856096
0.67054150,0.71000388
0.65144681,0.68327130
0.64126297,0.74182838
0.62344125,0.73800944
0.59925463,0.69345514
0.57888695,0.72909858
0.60943847,0.73037156
0.61198443,0.66163065
0.58015993,0.66544958
0.62089529,0.72273368
0.60434655,0.67436044
0.56615715,0.67436044
0.59288973,0.68327130
0.60052761,0.65526575
0.55724629,0.69090918
0.52669477,0.69472812
0.53433265,0.68072534
0.51141901,0.64762787
0.50250815,0.64762787
0.53560563,0.67308746
0.52287583,0.68072534
0.51014603,0.66544958
0.50887305,0.65271979
0.52032987,0.67181448
0.52924073,0.64890085
0.47068366,0.65017383
0.47195664,0.63235211
0.46177280,0.61580337
0.45031598,0.60689251
0.43122128,0.60689251
0.38921294,0.61071145
0.43249426,0.59161675
0.42103744,0.56106523
0.37011824,0.57634099
0.38157506,0.56361119
0.39175890,0.54197053
0.40830764,0.52542179
0.34847758,0.55724629
0.34211268,0.55342735
0.37393718,0.55342735
0.38666698,0.54451649
0.42740234,0.53178669
0.36884526,0.51141901
0.27082581,0.52796775
0.28610157,0.51141901
0.40958062,0.50123517
0.45158896,0.49614325
0.31919905,0.47959452
0.29628541,0.50250815
0.33574778,0.49868921
0.37011824,0.48468644
0.39557784,0.49868921
0.24027429,0.48468644
0.23645535,0.48723240
0.24918515,0.46941068
0.27591773,0.47832154
0.27464475,0.46559174
0.27719071,0.46559174
0.26955283,0.46686472
0.28992051,0.44522406
0.25936899,0.42485638
0.25682303,0.44267810
0.28610157,0.44649704
0.28864753,0.43376724
0.29119349,0.42612936
0.28864753,0.42740234
0.28864753,0.42740234
0.29246647,0.39557784
0.28610157,0.40066976
0.29119349,0.38157506
0.29373945,0.39303188
0.28610157,0.40958062
0.28610157,0.39430486
0.28482859,0.36884526
0.29373945,0.36757228
0.28737455,0.37648314
0.29119349,0.37648314
0.28992051,0.38157506
0.28610157,0.35993440
0.28737455,0.35102354
0.28610157,0.35738844
0.29373945,0.33829374
0.28864753,0.32938288
0.28992051,0.33320182
0.29373945,0.30774223
0.28992051,0.29246647
0.28992051,0.30519627
0.29373945,0.28992051
0.29501243,0.29755839
0.28992051,0.28100965
0.28992051,0.25173111
0.29119349,0.24918515
0.28737455,0.25555005
0.29119349,0.27464475
0.28864753,0.24536621
0.29373945,0.25936899
0.28992051,0.27719071
0.28992051,0.25173111
0.28992051,0.25555005
0.29373945,0.26064197
0.28610157,0.27082581
0.29119349,0.26191495
0.29119349,0.24282025
0.28864753,0.24282025
0.28737455,0.24791217
0.29119349,0.24409323
0.28864753,0.24918515
0.28864753,0.24918515
0.29373945,0.24791217
0.29246647,0.24409323
0.28992051,0.24791217
0.28992051,0.25555005
0.28864753,0.26573389
0.28737455,0.27337177
0.29119349,0.27591773
0.28482859,0.26955283
0.28992051,0.27464475
0.28864753,0.27973667
0.28610157,0.27973667
0.28992051,0.28355561
0.28864753,0.28100965
0.28864753,0.27973667
0.28482859,0.28355561
0.29119349,0.28610157
0.28864753,0.28228263
0.28992051,0.28355561
0.28992051,0.27973667
0.28992051,0.28355561
0.28737455,0.28355561
0.29119349,0.28610157
0.28610157,0.28100965
0.28737455,0.28228263
0.28864753,0.28864753
0.28610157,0.28482859
0.28610157,0.28864753
0.28992051,0.28355561
0.29246647,0.28610157
0.28864753,0.28100965
0.28610157,0.28610157
0.29373945,0.28482859
0.28992051,0.28737455
0.28482859,0.28482859
0.28610157,0.28482859
0.29246647,0.28737455
0.28992051,0.28228263
0.28992051,0.28992051
0.28992051,0.28992051
0.29119349,0.28610157
0.28992051,0.28610157
0.28992051,0.28610157
0.28737455,0.28737455
0.28864753,0.28355561
0.28864753,0.28228263
0.28992051,0.28482859
0.28737455,0.28355561
0.28992051,0.28355561
0.28864753,0.28355561
0.28864753,0.28610157
0.28864753,0.28482859
0.29119349,0.28482859
0.28482859,0.28482859
0.28610157,0.28228263
0.28482859,0.28482859
0.28864753,0.28610157
0.28737455,0.28355561
0.28737455,0.28228263
0.28610157,0.28992051
0.28610157,0.28610157
0.28610157,0.28228263
0.28864753,0.28228263
0.28864753,0.28100965
0.28992051,0.28610157
0.28864753,0.28610157
0.28992051,0.28482859
0.28992051,0.28992051
0.28610157,0.28482859
0.28610157,0.28482859
0.28610157,0.28864753
0.28992051,0.28228263
0.28992051,0.28610157
0.28992051,0.28610157
0.29373945,0.28610157
0.29246647,0.28355561
0.28992051,0.28610157
0.28992051,0.28610157
0.28992051,0.28355561
0.28992051,0.28355561
0.28737455,0.28610157
0.29119349,0.28482859
0.28992051,0.28482859
0.28992051,0.28482859
0.29246647,0.28100965
0.28992051,0.28100965
0.29119349,0.28482859
0.29373945,0.28737455
0.29246647,0.28864753
0.28737455,0.28610157
0.29373945,0.28482859
0.28610157,0.28228263
0.28864753,0.28992051
0.28610157,0.28355561
0.28992051,0.28610157
0.28992051,0.28610157
0.28864753,0.28355561
0.28992051,0.28992051
0.28737455,0.28610157
0.29246647,0.28610157
0.28610157,0.28610157
0.28992051,0.28737455
0.28992051,0.28355561
0.29246647,0.28355561
0.29119349,0.28610157
0.29119349,0.28992051
0.29246647,0.28737455
0.29119349,0.28482859
0.28992051,0.28992051
0.28864753,0.28864753
0.28992051,0.28610157
0.29373945,0.28992051
0.29373945,0.28864753
0.29119349,0.28610157
0.29246647,0.28610157
0.29373945,0.28992051
0.29373945,0.28737455
0.28737455,0.28482859
0.28992051,0.28737455
0.28864753,0.28610157
0.29119349,0.28610157
0.28992051,0.28610157
0.29119349,0.28864753
0.29246647,0.28610157
0.28992051,0.28610157
0.28610157,0.28482859
0.28992051,0.28610157
