Force-Distance Curve
Date and Time:  2016-04-25   13.05.51

Up data,Down data
0.78129076,0.80547738
0.76856096,0.79020162
0.76601500,0.78256374
0.77619884,0.79020162
0.77492586,0.75710414
0.74819328,0.74182838
0.73928242,0.75710414
0.73800944,0.76092308
0.74055540,0.72909858
0.70873090,0.70745792
0.68199832,0.73419050
0.65144681,0.74819328
0.63998999,0.77492586
0.67690640,0.72782560
0.66672256,0.71382282
0.62853317,0.71254984
0.62344125,0.73419050
0.64380893,0.72018772
0.64508191,0.67690640
0.61707635,0.67436044
0.60943847,0.67054150
0.61834933,0.67817938
0.61198443,0.66544958
0.59288973,0.65781171
0.59670867,0.64508191
0.58143291,0.61453039
0.55724629,0.60180059
0.55597331,0.62471423
0.53815159,0.61198443
0.51523795,0.60180059
0.53178669,0.60180059
0.53051371,0.60434655
0.53051371,0.61198443
0.51014603,0.60561953
0.48086750,0.59925463
0.46813770,0.62216827
0.48850538,0.57888695
0.46049982,0.58015993
0.43758618,0.62726019
0.43504022,0.60816549
0.42867532,0.58143291
0.42867532,0.60052761
0.41976446,0.58525185
0.41085360,0.73800944
0.42867532,0.60307357
0.42485638,0.62598721
0.43758618,0.70491196
0.39939678,0.53560563
0.40958062,0.54197053
0.40830764,0.52796775
0.39939678,0.42867532
0.36757228,0.49359729
0.36120738,0.53942457
0.35993440,0.55597331
0.35229652,0.51778391
0.32683692,0.51141901
0.28992051,0.53942457
0.27591773,0.43631320
0.28864753,0.48850538
0.28737455,0.50505411
0.27209879,0.48850538
0.28228263,0.47322962
0.27464475,0.48086750
0.28737455,0.45540790
0.28482859,0.45922684
0.26827985,0.46431876
0.29373945,0.49359729
0.28864753,0.50250815
0.25682303,0.44013214
0.24409323,0.42994830
0.24282025,0.45922684
0.23518237,0.44777002
0.25300409,0.41467254
0.26191495,0.42994830
0.23009045,0.40830764
0.21608767,0.38793996
0.22499853,0.39812380
0.26446091,0.39048592
0.19953893,0.35993440
0.27973667,0.35356950
0.27973667,0.37521016
0.27591773,0.33447480
0.27973667,0.36502632
0.28100965,0.39175890
0.28355561,0.36248036
0.28482859,0.33447480
0.27973667,0.31919905
0.27591773,0.33447480
0.28100965,0.35484248
0.27719071,0.33829374
0.28482859,0.34465864
0.27846369,0.33447480
0.28100965,0.33065586
0.28100965,0.31792607
0.27591773,0.30265031
0.28100965,0.31792607
0.28228263,0.32683692
0.28100965,0.30901521
0.28482859,0.28100965
0.28100965,0.27973667
0.27973667,0.28100965
0.28100965,0.23518237
0.28100965,0.23518237
0.27973667,0.25809601
0.28228263,0.26955283
0.28355561,0.26446091
0.27719071,0.24536621
0.28100965,0.24282025
0.28100965,0.26191495
0.28482859,0.26064197
0.27846369,0.25555005
0.28228263,0.24918515
0.28100965,0.25045813
0.28228263,0.24536621
0.27973667,0.25173111
0.27846369,0.24409323
0.28355561,0.24154727
0.28100965,0.24282025
0.27719071,0.24409323
0.28482859,0.23772833
0.28100965,0.23772833
0.28100965,0.24027429
0.28100965,0.24282025
0.28100965,0.25936899
0.28100965,0.24027429
0.28355561,0.23900131
0.28355561,0.25300409
0.28355561,0.26318793
0.28100965,0.27464475
0.27973667,0.26573389
0.28482859,0.26955283
0.28100965,0.26446091
0.28100965,0.27082581
0.28482859,0.27464475
0.27719071,0.26955283
0.28355561,0.27082581
0.28482859,0.27209879
0.27719071,0.27082581
0.27973667,0.27464475
0.28100965,0.27464475
0.28100965,0.27846369
0.28100965,0.27591773
0.27973667,0.27591773
0.28100965,0.27846369
0.28228263,0.27973667
0.27846369,0.27719071
0.28100965,0.27973667
0.27719071,0.27719071
0.28100965,0.27464475
0.28100965,0.27591773
0.28228263,0.27464475
0.28482859,0.27719071
0.28482859,0.27591773
0.28482859,0.27209879
0.28228263,0.27209879
0.28228263,0.27719071
0.28100965,0.27464475
0.27846369,0.27591773
0.28100965,0.27719071
0.28355561,0.27337177
0.28610157,0.27337177
0.28100965,0.27337177
0.28100965,0.27719071
0.28228263,0.27719071
0.27719071,0.27337177
0.28355561,0.27591773
0.28100965,0.27464475
0.28482859,0.27209879
0.28355561,0.27719071
0.28355561,0.27719071
0.28228263,0.27846369
0.28228263,0.27591773
0.28100965,0.27464475
0.28228263,0.27337177
0.28100965,0.27846369
0.28482859,0.27591773
0.28482859,0.27591773
0.28100965,0.27846369
0.28482859,0.27973667
0.28355561,0.27591773
0.28100965,0.27719071
0.28100965,0.27464475
0.28228263,0.27973667
0.28355561,0.27973667
0.28228263,0.27591773
0.28355561,0.27846369
0.28482859,0.27337177
0.28228263,0.27846369
0.28228263,0.27337177
0.28228263,0.27591773
0.27846369,0.27591773
0.28482859,0.27337177
0.27846369,0.27591773
0.28482859,0.27973667
0.27973667,0.27337177
0.27973667,0.27591773
0.27973667,0.27337177
0.28482859,0.27973667
0.28482859,0.27464475
0.28482859,0.27719071
0.28482859,0.27719071
0.28100965,0.28100965
0.28100965,0.27719071
0.28228263,0.27719071
0.28228263,0.28100965
0.28355561,0.27591773
0.28228263,0.27846369
0.28228263,0.27719071
0.28355561,0.27719071
0.28482859,0.27719071
0.28482859,0.27337177
0.28355561,0.28100965
0.28610157,0.28100965
0.28100965,0.27973667
0.27973667,0.27591773
0.28228263,0.27973667
0.28228263,0.27464475
0.28482859,0.28100965
0.28482859,0.27973667
0.28482859,0.27719071
0.28228263,0.27973667
0.27973667,0.27591773
0.27719071,0.27973667
0.27846369,0.27973667
0.28100965,0.28355561
0.27846369,0.27846369
0.28482859,0.28228263
0.28355561,0.28100965
0.28100965,0.27973667
0.28355561,0.27846369
0.28610157,0.27846369
0.28482859,0.28100965
0.28482859,0.27973667
0.27973667,0.28482859
0.27846369,0.27591773
0.28610157,0.27973667
0.27846369,0.27719071
0.28228263,0.28100965
0.27846369,0.27973667
0.28355561,0.27719071
0.28610157,0.28100965
0.28100965,0.27846369
0.27973667,0.28482859
0.28228263,0.27973667
0.27719071,0.28355561
0.28228263,0.27973667
0.28100965,0.28228263
0.27719071,0.28100965
0.28100965,0.28100965
0.28100965,0.28228263
0.27846369,0.27973667
0.28100965,0.28100965
0.28482859,0.27973667
0.28228263,0.28228263
0.27719071,0.28355561
0.27846369,0.28100965
0.28100965,0.28100965
0.27719071,0.27973667
0.27846369,0.27591773
0.28228263,0.28482859
0.28482859,0.27591773
0.28610157,0.27846369
0.28228263,0.28100965
0.27719071,0.27973667
0.28100965,0.27973667
0.28482859,0.28100965
0.28482859,0.27846369
0.28100965,0.27464475
0.27973667,0.27464475
0.27973667,0.28355561
0.28355561,0.28482859
0.28482859,0.28355561
0.27973667,0.27719071
0.28482859,0.27719071
0.28482859,0.27719071
0.28100965,0.28100965
0.27973667,0.28482859
0.28482859,0.28100965
0.28228263,0.28100965
0.28355561,0.27719071
0.27973667,0.27846369
0.28228263,0.27973667
0.28482859,0.27846369
0.28100965,0.27846369
0.28100965,0.27846369
0.27846369,0.27591773
0.27846369,0.28100965
0.28100965,0.27973667
0.28355561,0.28228263
0.28100965,0.28100965
0.28482859,0.28355561
0.27719071,0.28355561
0.28482859,0.28100965
0.28100965,0.27719071
0.27719071,0.27719071
0.27846369,0.27973667
0.27973667,0.28100965
0.27846369,0.27846369
0.28228263,0.27719071
0.28100965,0.27973667
0.28482859,0.27719071
0.28228263,0.28355561
0.28100965,0.28100965
0.28355561,0.27973667
0.27973667,0.27973667
0.28355561,0.27973667
0.27973667,0.27719071
0.28355561,0.28355561
0.28228263,0.28100965
0.28355561,0.27591773
0.28100965,0.28355561
0.27846369,0.27973667
0.28100965,0.27591773
0.28100965,0.27973667
0.28100965,0.27846369
0.28228263,0.28100965
0.28355561,0.28355561
0.28100965,0.27591773
0.27846369,0.27719071
0.28100965,0.27846369
0.28100965,0.27846369
0.28228263,0.28100965
0.28228263,0.27719071
0.28228263,0.27719071
0.27846369,0.27719071
0.28100965,0.28355561
0.28100965,0.28228263
0.28100965,0.28355561
0.27846369,0.27973667
0.27973667,0.27719071
0.27973667,0.27973667
0.28228263,0.27719071
0.28228263,0.28355561
0.28482859,0.27846369
0.28482859,0.27591773
0.28482859,0.27591773
0.28610157,0.28355561
0.28355561,0.27719071
0.28228263,0.28100965
0.28100965,0.27973667
0.28228263,0.27973667
0.28482859,0.27973667
0.28737455,0.28100965
0.28610157,0.28482859
0.28355561,0.27973667
0.28355561,0.28100965
0.28482859,0.28482859
0.27973667,0.28100965
0.27719071,0.27846369
0.28100965,0.28100965
0.27973667,0.28228263
0.28482859,0.28355561
0.28100965,0.28482859
0.27973667,0.28228263
0.28482859,0.28482859
0.27846369,0.28228263
0.28228263,0.27846369
0.28100965,0.27973667
0.27973667,0.27846369
0.28100965,0.28100965
0.28100965,0.28100965
0.27973667,0.28228263
0.28100965,0.28100965
0.28482859,0.28100965
0.28228263,0.28100965
0.28100965,0.28228263
0.28100965,0.28100965
0.28100965,0.28100965
0.28100965,0.27719071
0.28100965,0.28100965
0.27846369,0.28100965
0.27973667,0.28100965
0.28228263,0.27719071
0.28482859,0.28100965
0.28100965,0.28355561
0.28100965,0.28100965
0.28100965,0.28610157
0.28482859,0.28100965
0.28100965,0.28100965
0.27719071,0.27591773
0.27973667,0.27973667
0.27719071,0.28228263
0.28100965,0.27973667
0.28100965,0.27973667
0.27846369,0.27591773
0.27973667,0.28100965
0.28228263,0.28100965
0.28228263,0.28482859
0.28100965,0.28100965
0.28100965,0.28228263
0.27846369,0.28100965
0.27846369,0.28100965
0.27719071,0.28355561
0.28100965,0.28482859
0.28482859,0.27973667
0.28100965,0.27719071
0.28482859,0.28100965
0.28100965,0.28482859
0.27719071,0.28100965
0.27973667,0.28100965
0.28100965,0.28100965
0.28100965,0.27719071
0.28100965,0.27846369
0.28100965,0.28228263
0.28100965,0.28100965
0.28482859,0.27973667
