Force-Distance Curve
Date and Time:  2016-04-25   13.01.03

Up data,Down data
0.80165844,0.78638268
0.79402056,0.80293142
0.75965010,0.80038546
0.77492586,0.77237990
0.75073924,0.79147460
0.73037156,0.78510970
0.71891474,0.77365288
0.73928242,0.78510970
0.72400666,0.77365288
0.68581726,0.77365288
0.72146070,0.78383672
0.70745792,0.77874480
0.68581726,0.75965010
0.69600110,0.75073924
0.68072534,0.76346904
0.69218216,0.75201222
0.67817938,0.75328520
0.68709024,0.75583116
0.67817938,0.74692030
0.63998999,0.75455818
0.63617105,0.73546348
0.62344125,0.72782560
0.60689251,0.73419050
0.58525185,0.73164454
0.57379503,0.71764176
0.58015993,0.70109302
0.57506801,0.69982004
0.56233821,0.69854706
0.56870311,0.68963620
0.56743013,0.70618494
0.56997609,0.69345514
0.56361119,0.68199832
0.55851927,0.67690640
0.53560563,0.64635489
0.54451649,0.65653873
0.54960841,0.65653873
0.49487027,0.64635489
0.49741623,0.64126297
0.49741623,0.62089529
0.47577558,0.61580337
0.47450260,0.61325741
0.45031598,0.58525185
0.44904300,0.58652483
0.44904300,0.59288973
0.43631320,0.57252205
0.42740234,0.58270589
0.42231042,0.57761397
0.42994830,0.56997609
0.42740234,0.54069755
0.39939678,0.55215437
0.41849148,0.55851927
0.43122128,0.54960841
0.41849148,0.52414881
0.39939678,0.51905689
0.37266420,0.53051371
0.38921294,0.50760007
0.38539400,0.50632709
0.37011824,0.49359729
0.33447480,0.46813770
0.32556394,0.47450260
0.33702076,0.49868921
0.32301799,0.50250815
0.30519627,0.46941068
0.28228263,0.45668088
0.27591773,0.44395108
0.28100965,0.44777002
0.25809601,0.45795386
0.26955283,0.46813770
0.27209879,0.44777002
0.27209879,0.44267810
0.28482859,0.44267810
0.26191495,0.43631320
0.28100965,0.41721850
0.26700687,0.41085360
0.26446091,0.40066976
0.25300409,0.40830764
0.24409323,0.41594552
0.23772833,0.38793996
0.28482859,0.37775612
0.28864753,0.37393718
0.29119349,0.35484248
0.28992051,0.40194274
0.28610157,0.38284804
0.28737455,0.37139122
0.29373945,0.37011824
0.28864753,0.36502632
0.29246647,0.35356950
0.28992051,0.34465864
0.28992051,0.34083970
0.29246647,0.36248036
0.28737455,0.36248036
0.28737455,0.35484248
0.29373945,0.35229652
0.28992051,0.32174501
0.28864753,0.31028819
0.28992051,0.33956672
0.28992051,0.33574778
0.28992051,0.30646925
0.28992051,0.28610157
0.29119349,0.29883137
0.28864753,0.30010435
0.28992051,0.28100965
0.28992051,0.27464475
0.28737455,0.26064197
0.28992051,0.26827985
0.28992051,0.27082581
0.29373945,0.25427707
0.28864753,0.25427707
0.29119349,0.26318793
0.29119349,0.27337177
0.28864753,0.25300409
0.29119349,0.25427707
0.28737455,0.25809601
0.29119349,0.25555005
0.28992051,0.25427707
0.29501243,0.25682303
0.29119349,0.26573389
0.29373945,0.26064197
0.29501243,0.24663919
0.28610157,0.26318793
0.28992051,0.24918515
0.29246647,0.25300409
0.29373945,0.25173111
0.28864753,0.25936899
0.29119349,0.25936899
0.29119349,0.26064197
0.28737455,0.25682303
0.29119349,0.24791217
0.29119349,0.25555005
0.29501243,0.27973667
0.29119349,0.27719071
